2026-09-25 05:47:22,894 | INFO | pipeline | ===== PIPELINE RUN START =====
2026-09-25 05:47:22,898 | INFO | pipeline.ingest | Loaded 3000 trip records from trips_march2024_sample.csv
2026-09-25 05:47:22,898 | INFO | pipeline.ingest | Loaded 20 zone lookup records from taxi_zone_lookup.csv
2026-09-25 05:47:23,094 | WARNING | pipeline.ingest | Live weather API call failed (403 Client Error: Forbidden for url: https://archive-api.open-meteo.com/v1/archive?latitude=40.71&longitude=-74.01&start_date=2024-03-01&end_date=2024-03-31&daily=precipitation_sum%2Ctemperature_2m_mean&timezone=America%2FNew_York); using cached sample response
2026-09-25 05:47:23,097 | INFO | pipeline.ingest | Loaded 31 days of weather data
2026-09-25 05:47:23,098 | INFO | pipeline.ingest | Retrieval completeness check passed
2026-09-25 05:47:23,100 | INFO | pipeline.validate | Profile summary: {'row_count': 3000, 'null_counts': {'trip_id': 0, 'tpep_pickup_datetime': 0, 'tpep_dropoff_datetime': 0, 'PULocationID': 0, 'DOLocationID': 0, 'trip_distance': 0, 'fare_amount': 0, 'passenger_count': 20, 'payment_type': 0}, 'trip_distance_min': np.float64(0.0), 'trip_distance_max': np.float64(23.69), 'fare_amount_min': np.float64(-5.0), 'fare_amount_max': np.float64(60.8), 'passenger_count_unique': [0.0, 1.0, 2.0, 3.0, 4.0]}
2026-09-25 05:47:23,105 | INFO | pipeline.validate | Validation summary: {'bad_time_order': 15, 'zero_distance': 15, 'negative_fare': 15, 'bad_passenger_count': 35, 'total_flagged': 80, 'total_rows': 3000}
2026-09-25 05:47:23,106 | INFO | pipeline.validate | Found 0 trips with unknown pickup/dropoff zone IDs
2026-09-25 05:47:23,108 | INFO | pipeline | Saved 80 flagged records for review
2026-09-25 05:47:23,110 | ERROR | pipeline | MODELING STAGE FAILED: No such keys(s): 'mode.use_inf_as_na'
2026-09-25 05:47:23,111 | ERROR | pipeline | ===== PIPELINE RUN FAILED: No such keys(s): 'mode.use_inf_as_na' =====
2026-09-25 05:47:28,061 | INFO | pipeline | ===== PIPELINE RUN START =====
2026-09-25 05:47:28,066 | INFO | pipeline.ingest | Loaded 3000 trip records from trips_march2024_sample.csv
2026-09-25 05:47:28,067 | INFO | pipeline.ingest | Loaded 20 zone lookup records from taxi_zone_lookup.csv
2026-09-25 05:47:28,217 | WARNING | pipeline.ingest | Live weather API call failed (403 Client Error: Forbidden for url: https://archive-api.open-meteo.com/v1/archive?latitude=40.71&longitude=-74.01&start_date=2024-03-01&end_date=2024-03-31&daily=precipitation_sum%2Ctemperature_2m_mean&timezone=America%2FNew_York); using cached sample response
2026-09-25 05:47:28,219 | INFO | pipeline.ingest | Loaded 31 days of weather data
2026-09-25 05:47:28,220 | INFO | pipeline.ingest | Retrieval completeness check passed
2026-09-25 05:47:28,222 | INFO | pipeline.validate | Profile summary: {'row_count': 3000, 'null_counts': {'trip_id': 0, 'tpep_pickup_datetime': 0, 'tpep_dropoff_datetime': 0, 'PULocationID': 0, 'DOLocationID': 0, 'trip_distance': 0, 'fare_amount': 0, 'passenger_count': 20, 'payment_type': 0}, 'trip_distance_min': np.float64(0.0), 'trip_distance_max': np.float64(23.69), 'fare_amount_min': np.float64(-5.0), 'fare_amount_max': np.float64(60.8), 'passenger_count_unique': [0.0, 1.0, 2.0, 3.0, 4.0]}
2026-09-25 05:47:28,225 | INFO | pipeline.validate | Validation summary: {'bad_time_order': 15, 'zero_distance': 15, 'negative_fare': 15, 'bad_passenger_count': 35, 'total_flagged': 80, 'total_rows': 3000}
2026-09-25 05:47:28,227 | INFO | pipeline.validate | Found 0 trips with unknown pickup/dropoff zone IDs
2026-09-25 05:47:28,228 | INFO | pipeline | Saved 80 flagged records for review
